[ 2023-05-03 17:21:13,924 ] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2023-05-03 17:21:15,525 ] 34 root - INFO - Enter the data ingestion method or component
[ 2023-05-03 17:21:15,529 ] 37 root - INFO - Read the csv data as dataframe
[ 2023-05-03 17:21:15,533 ] 43 root - INFO - Train Test Split
[ 2023-05-03 17:21:15,539 ] 49 root - INFO - Ingestion of the data is completed
[ 2023-05-03 17:21:15,557 ] 67 root - INFO - The train and test data are read
[ 2023-05-03 17:21:15,557 ] 69 root - INFO - Obtaining preprocessing object
[ 2023-05-03 17:21:15,557 ] 41 root - INFO - numerical columns encoding completed
[ 2023-05-03 17:21:15,557 ] 47 root - INFO - categorical columns encoding completed
[ 2023-05-03 17:21:15,559 ] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 17:21:15,572 ] 91 root - INFO - Saved preprocessing object.
[ 2023-05-03 17:21:15,576 ] 37 root - INFO - Split training and test input data
