[ 2023-05-03 16:08:11,181 ] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2023-05-03 16:08:12,102 ] 34 root - INFO - Enter the data ingestion method or component
[ 2023-05-03 16:08:12,105 ] 37 root - INFO - Read the csv data as dataframe
[ 2023-05-03 16:08:12,110 ] 43 root - INFO - Train Test Split
[ 2023-05-03 16:08:12,116 ] 49 root - INFO - Ingestion of the data is completed
[ 2023-05-03 16:08:12,134 ] 67 root - INFO - The train and test data are read
[ 2023-05-03 16:08:12,134 ] 69 root - INFO - Obtaining preprocessing object
[ 2023-05-03 16:08:12,134 ] 41 root - INFO - numerical columns encoding completed
[ 2023-05-03 16:08:12,134 ] 47 root - INFO - categorical columns encoding completed
[ 2023-05-03 16:08:12,136 ] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 16:08:12,151 ] 91 root - INFO - Saved preprocessing object.
