[ 2023-05-03 17:20:04,324 ] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2023-05-03 17:20:06,233 ] 34 root - INFO - Enter the data ingestion method or component
[ 2023-05-03 17:20:06,237 ] 37 root - INFO - Read the csv data as dataframe
[ 2023-05-03 17:20:06,242 ] 43 root - INFO - Train Test Split
[ 2023-05-03 17:20:06,253 ] 49 root - INFO - Ingestion of the data is completed
[ 2023-05-03 17:20:06,400 ] 67 root - INFO - The train and test data are read
[ 2023-05-03 17:20:06,400 ] 69 root - INFO - Obtaining preprocessing object
[ 2023-05-03 17:20:06,400 ] 41 root - INFO - numerical columns encoding completed
[ 2023-05-03 17:20:06,400 ] 47 root - INFO - categorical columns encoding completed
[ 2023-05-03 17:20:06,411 ] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 17:20:06,454 ] 91 root - INFO - Saved preprocessing object.
[ 2023-05-03 17:20:06,460 ] 37 root - INFO - Split training and test input data
