[ 2023-05-03 18:02:02,686 ] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2023-05-03 18:02:04,459 ] 34 root - INFO - Enter the data ingestion method or component
[ 2023-05-03 18:02:04,463 ] 37 root - INFO - Read the csv data as dataframe
[ 2023-05-03 18:02:04,468 ] 43 root - INFO - Train Test Split
[ 2023-05-03 18:02:04,475 ] 49 root - INFO - Ingestion of the data is completed
[ 2023-05-03 18:02:04,494 ] 67 root - INFO - The train and test data are read
[ 2023-05-03 18:02:04,494 ] 69 root - INFO - Obtaining preprocessing object
[ 2023-05-03 18:02:04,495 ] 41 root - INFO - numerical columns encoding completed
[ 2023-05-03 18:02:04,495 ] 47 root - INFO - categorical columns encoding completed
[ 2023-05-03 18:02:04,552 ] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 18:02:04,566 ] 91 root - INFO - Saved preprocessing object.
[ 2023-05-03 18:02:04,570 ] 37 root - INFO - Split training and test input data
