[ 2023-05-03 17:59:26,065 ] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2023-05-03 17:59:29,623 ] 34 root - INFO - Enter the data ingestion method or component
[ 2023-05-03 17:59:29,653 ] 37 root - INFO - Read the csv data as dataframe
[ 2023-05-03 17:59:29,663 ] 43 root - INFO - Train Test Split
[ 2023-05-03 17:59:29,677 ] 49 root - INFO - Ingestion of the data is completed
[ 2023-05-03 17:59:29,721 ] 67 root - INFO - The train and test data are read
[ 2023-05-03 17:59:29,721 ] 69 root - INFO - Obtaining preprocessing object
[ 2023-05-03 17:59:29,721 ] 41 root - INFO - numerical columns encoding completed
[ 2023-05-03 17:59:29,722 ] 47 root - INFO - categorical columns encoding completed
[ 2023-05-03 17:59:29,727 ] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 17:59:29,758 ] 91 root - INFO - Saved preprocessing object.
[ 2023-05-03 17:59:29,765 ] 37 root - INFO - Split training and test input data
