[ 2023-05-03 16:06:01,585 ] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2023-05-03 16:06:02,685 ] 34 root - INFO - Enter the data ingestion method or component
[ 2023-05-03 16:06:02,689 ] 37 root - INFO - Read the csv data as dataframe
[ 2023-05-03 16:06:02,694 ] 43 root - INFO - Train Test Split
[ 2023-05-03 16:06:02,700 ] 49 root - INFO - Ingestion of the data is completed
[ 2023-05-03 16:06:02,716 ] 67 root - INFO - The train and test data are read
[ 2023-05-03 16:06:02,716 ] 69 root - INFO - Obtaining preprocessing object
[ 2023-05-03 16:06:02,716 ] 41 root - INFO - numerical columns encoding completed
[ 2023-05-03 16:06:02,716 ] 47 root - INFO - categorical columns encoding completed
[ 2023-05-03 16:06:02,718 ] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 16:06:02,731 ] 91 root - INFO - Saved preprocessing object.
