[ 2023-05-03 17:39:55,934 ] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2023-05-03 17:39:57,752 ] 34 root - INFO - Enter the data ingestion method or component
[ 2023-05-03 17:39:57,756 ] 37 root - INFO - Read the csv data as dataframe
[ 2023-05-03 17:39:57,761 ] 43 root - INFO - Train Test Split
[ 2023-05-03 17:39:57,768 ] 49 root - INFO - Ingestion of the data is completed
[ 2023-05-03 17:39:57,785 ] 67 root - INFO - The train and test data are read
[ 2023-05-03 17:39:57,785 ] 69 root - INFO - Obtaining preprocessing object
[ 2023-05-03 17:39:57,785 ] 41 root - INFO - numerical columns encoding completed
[ 2023-05-03 17:39:57,785 ] 47 root - INFO - categorical columns encoding completed
[ 2023-05-03 17:39:57,787 ] 82 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 17:39:57,800 ] 91 root - INFO - Saved preprocessing object.
[ 2023-05-03 17:39:57,803 ] 37 root - INFO - Split training and test input data
[ 2023-05-03 17:40:00,643 ] 65 root - INFO - Basic Models trained and best model selected
